loan_id,amount,tenure,status,start_date,dpd,person_id
LN88613,49261,6,default,2022-06-06,87,P000001
LN41507,179148,36,closed,2024-09-26,40,P000002
LN91801,370496,12,default,2024-10-16,17,P000003
LN32796,172410,12,default,2021-09-05,34,P000004
LN33975,392574,24,closed,2021-10-03,89,P000005
LN42273,477222,12,active,2022-08-01,54,P000006
LN11780,60028,12,default,2023-11-03,0,P000007
LN21396,460843,36,active,2023-08-24,64,P000008
LN13259,198477,12,default,2023-11-01,60,P000009
LN36548,425001,24,default,2021-11-17,32,P000010
LN50921,431108,12,default,2021-01-04,43,P000011
LN48419,468920,24,default,2020-11-24,53,P000012
LN24598,353104,24,default,2021-07-10,8,P000013
LN44808,171905,6,default,2020-12-09,47,P000014
LN36172,366200,24,default,2021-07-09,61,P000015
LN24223,80592,6,active,2020-07-15,82,P000016
LN45254,272955,12,closed,2021-01-22,25,P000017
LN31901,81109,6,active,2023-12-03,45,P000018
LN62915,384161,6,active,2020-01-21,77,P000019
LN96256,386683,24,default,2024-11-07,89,P000020
LN33558,273104,24,active,2021-10-07,83,P000021
LN87342,202016,12,active,2021-06-26,72,P000022
LN75260,82028,36,closed,2023-07-23,43,P000023
LN58248,398915,6,default,2022-09-21,60,P000024
LN95924,345483,12,default,2023-05-19,32,P000025
LN81500,263352,36,active,2022-12-06,46,P000026
LN68036,155681,6,default,2022-07-24,83,P000027
LN56640,110728,12,closed,2023-08-24,89,P000028
LN75998,447889,6,active,2022-02-11,50,P000029
LN16110,112235,12,default,2024-02-28,57,P000030
LN56293,287507,36,active,2023-01-26,69,P000031
LN53648,359683,6,closed,2020-02-25,18,P000032
LN19685,54806,24,default,2022-05-07,84,P000033
LN56559,237273,36,default,2023-11-06,38,P000034
LN87074,407381,6,default,2021-02-07,16,P000035
LN80527,29361,6,active,2023-01-02,26,P000036
LN32368,343315,24,closed,2024-03-18,63,P000037
LN88699,27535,6,default,2022-01-22,85,P000038
LN23439,458827,6,active,2020-08-14,23,P000039
LN80841,398281,36,closed,2022-07-17,71,P000040
LN80798,475065,6,active,2022-02-23,63,P000041
LN15359,181865,24,active,2021-12-09,14,P000042
LN80904,475796,36,active,2023-03-05,34,P000043
LN45082,35838,6,active,2023-08-17,27,P000044
LN43510,40844,24,active,2024-06-21,40,P000045
LN20240,61573,36,default,2022-04-19,77,P000046
LN16505,294563,24,closed,2023-04-12,74,P000047
LN57995,364880,24,active,2020-10-13,20,P000048
LN90245,19957,6,active,2021-11-03,61,P000049
LN56617,87880,6,active,2024-11-24,46,P000050
LN20906,298203,36,default,2020-07-02,86,P000051
LN40907,344000,6,default,2024-02-28,57,P000052
LN48689,270235,36,default,2020-07-21,37,P000053
LN82870,337010,36,active,2024-08-22,80,P000054
LN66825,265858,24,closed,2023-06-28,81,P000055
LN95801,315778,12,default,2023-11-07,60,P000056
LN70736,118068,12,default,2020-11-10,65,P000057
LN89377,52958,24,default,2022-10-12,39,P000058
LN77747,146297,36,closed,2024-08-07,84,P000059
LN59601,274710,6,default,2024-07-04,36,P000060
LN39114,347828,6,closed,2021-09-11,5,P000061
LN95605,86590,24,closed,2024-01-17,34,P000062
LN68395,160945,12,closed,2023-02-14,42,P000063
LN16856,474452,24,closed,2020-05-21,36,P000064
LN15964,315139,6,closed,2021-02-18,44,P000065
LN49350,85347,24,active,2024-06-05,45,P000066
LN44854,297777,6,default,2022-08-15,50,P000067
LN92022,330796,6,default,2022-02-22,42,P000068
LN34362,133618,24,active,2024-05-11,5,P000069
LN58421,211661,36,active,2020-08-03,46,P000070
LN12771,100596,6,closed,2024-09-02,90,P000071
LN81219,359458,24,closed,2022-02-11,46,P000072
LN58895,461242,12,default,2020-05-25,47,P000073
LN59382,289139,6,active,2020-07-06,48,P000074
LN58321,210539,6,closed,2022-11-09,35,P000075
LN57130,257554,6,closed,2021-09-05,17,P000076
LN88451,30105,6,default,2020-10-08,65,P000077
LN51571,17692,6,active,2023-07-27,41,P000078
LN33074,69096,6,closed,2024-12-19,84,P000079
LN61608,66160,36,active,2024-08-14,55,P000080
LN37255,67031,6,closed,2021-09-18,76,P000081
LN79236,497998,12,closed,2024-05-25,36,P000082
LN12240,223882,24,default,2022-05-03,39,P000083
LN28477,361910,6,default,2022-12-20,51,P000084
LN56717,303128,24,default,2021-07-27,27,P000085
LN45620,141937,6,active,2020-01-15,58,P000086
LN11373,342845,36,default,2023-06-03,10,P000087
LN95985,98487,6,default,2023-05-25,45,P000088
LN45613,462120,24,default,2024-05-27,36,P000089
LN76745,294399,12,active,2023-01-02,54,P000090
LN41150,332752,6,closed,2020-10-12,89,P000091
LN72054,301509,24,closed,2020-03-08,12,P000092
LN47479,13183,24,closed,2022-07-10,34,P000093
LN46065,110720,12,default,2021-12-22,70,P000094
LN58058,19536,24,active,2022-04-20,20,P000095
LN48704,411624,36,closed,2022-06-23,37,P000096
LN17995,76581,36,default,2020-12-28,54,P000097
LN24993,451973,24,default,2021-01-04,48,P000098
LN38135,311514,24,default,2022-01-15,9,P000099
LN48183,490256,24,default,2024-09-24,89,P000100
LN19235,38593,6,active,2023-08-17,34,P000101
LN15874,129039,36,active,2023-12-03,74,P000102
LN93419,176917,24,closed,2020-11-11,38,P000103
LN92600,176663,6,active,2021-02-12,25,P000104
LN62123,468060,24,active,2020-12-19,62,P000105
LN48077,412802,12,closed,2023-02-18,20,P000106
LN14277,422004,24,closed,2022-03-09,44,P000107
LN14036,151106,24,closed,2023-01-25,59,P000108
LN41628,76586,6,active,2021-09-26,23,P000109
LN19793,441284,24,closed,2021-12-17,39,P000110
LN31759,349525,24,active,2020-07-16,38,P000111
LN50428,211466,6,closed,2023-03-02,69,P000112
LN39828,296109,12,active,2023-07-23,14,P000113
LN84017,50981,12,active,2023-04-18,61,P000114
LN86489,251164,36,default,2023-05-23,22,P000115
LN49885,497978,12,closed,2021-11-27,32,P000116
LN65527,109305,6,closed,2022-02-17,81,P000117
LN58459,100524,12,active,2023-05-23,76,P000118
LN38368,65032,36,default,2020-06-11,80,P000119
LN86380,420204,12,active,2023-06-13,70,P000120
LN26830,144141,36,closed,2024-09-18,68,P000121
LN24490,316413,12,closed,2021-09-13,3,P000122
LN71029,194297,12,default,2020-02-25,37,P000123
LN91897,485446,36,default,2020-03-24,62,P000124
LN81594,401729,6,default,2020-06-13,21,P000125
LN99069,439577,24,default,2023-06-27,54,P000126
LN98906,136574,36,closed,2024-03-21,4,P000127
LN40897,275642,24,default,2024-10-25,7,P000128
LN92687,131758,6,active,2021-07-14,11,P000129
LN10290,419942,36,default,2022-02-13,9,P000130
LN18600,444561,6,active,2022-05-09,52,P000131
LN16702,119071,6,closed,2023-01-25,53,P000132
LN85454,287451,24,closed,2024-05-26,56,P000133
LN56227,474181,36,active,2020-04-20,7,P000134
